Keywords,Occurrences
Sequels Without Their Original Stars,44
Comeback,44
Crime Boss,44
Rehab / Former Addict,44
Murder Mystery,43
Live Action Cartoon,43
Underwater,43
Set in California,42
Smuggler,42
Political Thriller,42
1700s,42
Prequel,42
Set in France,41
Remade,41
Courtroom / Legal Drama,41
2010s,41
Unbelieving Police,41
Prince/Princess,40
Baseball,40
Car Chase,40
Vigilante,40
Inspirational Sports,40
Miscellaneous Sports,39
Erotic Drama,39
Scientific Experiment Gone Awry,39
Basketball,39
Wrongfully Convicted,39
Environment,39
Mental Hospital,39
Boxing,39
Curses,38
Inspirational Teacher,38
Step-Family,38
Extreme Weather,38
F-Rated,38
World War I,38
Werewolf,37
Space Program,37
Therapists / Therapy,37
Living Toys,37
Slavery,37
Drug Dealer,37
Death of a Best Friend,36
Marooned,36
Big Break,36
Cannibalism,36
Set in London,36
Based on an UNTRUE Story,36
Police Procedural,36
D.C. Comics,36
"Country Mouse, City Mouse",36
Unrequited Love,36
Actors Making Their Directorial Debut,36
Adult Child Dealing with the Death of a Parent,36
Fashion,35
Military Life,35
1800s,35
Sports Comedy,35
You Can't Go Home Again,35
Death of a Partner,34
Politicians,34
Arranged Marriage,34
Boarding School,34
Assassination,34
Class Warfare,34
Set in India,34
PTSD,34
Reboot,34
Hispanic,34
Human Experimentation,33
Political Campaign,33
Auto Racing,33
Christians,33
Set in England,33
Agitprop,33
Strippers / Stripping,32
Secret Magic,32
Mad Scientist,32
Cold War,32
Pirates,32
Writer's Block,32
1900s,31
Young Adult Book Adaptation,31
Family Vacations,30
Occult,30
Origin Story,30
Sword & Sorcerer,30
Tortured for Information,30
Cloning,30
Friendly Ghost,30
Found Footage,29
Black Out Drunk,29
Tween,29
Epidemic,29
Relatives Playing Relatives,29
Set in Paris,29
Cover Up,29
Special Ops,29
Retro Black and White,29
Corporate Life,28
Troubled Pregnancy or Miscarriage,28
Native Americans,28
Creature Feature,28
Gods and Goddesses,27
Animated Sequences,27
War Crimes,27
Disrupted by COVID-19 pandemic,27
Body Horror,27
Runaway,27
Yesterday's Tomorrow,27
Artificial Intelligence,27
Life on a Farm,26
Drug Cartels,26
Family Adventure,26
High School Hell,26
Land Developer,26
Slow Motion Scene,26
Film Actor,26
Obsessive Love,25
Cults,25
Double-Crossed,25
Heaven and Hell,25
Unexpected Pregnancy,25
Modern Adaptation,25
Sequel With Lead Character Recast,25
Juvenile Delinquent,25
Holocaust,25
Witches,25
Teachers,25
Dragon,25
The Past Catching up with You,25
Academics,24
Tournament,24
Bank Robbery,24
Rebellion,24
Funeral Reunions,24
1890s,24
Delayed Release,24
Set in San Francisco,24
Isolation Horror,24
Wheelchair User,23
Ex-soldier,23
Workaholic,23
Trapped,23
Redemption,23
Heroic Adventure,23
Improvised,23
Alien Encounters,23
Set in Mexico,23
Vacation,23
Slobs vs. Snobs,22
Split Screen,22
Inspirational Coach,22
Reality TV,22
Set in Florida,22
Civil War,22
Loss Of Virginity,22
Coma,22
Medical Crimes,22
Closeted Homosexual,22
Mercenaries,22
Independent/Other Comics,22
Mystery Drama,22
Director Cameo,21
Missing Child,21
Blindness,21
Fat Suit,21
Historical Battles,21
Set in Chicago,21
Nature Horror,21
Aspiring Actress / Actor,21
Video Game,21
Rags to Riches,21
Catholic,21
Reincarnation,21
Set in China,21
Graduation,21
Haunted House,21
Bounty Hunter,21
Fictionalized Version of Yourself,21
Wedding Day Disasters,21
Child Prodigy,20
Texas,20
DEA Agent,20
Photography,20
Double Agent,20
Death Row,20
Set in Outer Space,20
Body Swap,20
Set in Hollywood,20
Infertility,20
Suicide Attempt,20
Friends turned Enemies,20
Going Legit,20
Riches to Rags,20
Training Montage,20
Anxiety and Phobias,20
Near Death Experience,20
Cruel Wardens or Prison Guards,20
High School Sports,20
Monks and Nuns,19
Director Remaking Their Own Movie,19
NYPD,19
Paralysis / Loss of a Limb,19
"Washington, D.C.",19
Killing in Self Defence,19
Exorcism,19
Trains,19
Prank Gone Wrong,19
Teenage Sex Comedy,19
Deaf,19
1880s,19
Research Scientist,19
Media Circus,19
Interspecies Romance,19
Anime,19
Wish Granters,19
College Professor,19
Invented Language,18
LAPD,18
Soccer,18
Sports Action,18
Weapons of Mass Destruction,18
Set in Japan,18
Abandoned Child,18
Parasite,18
Babysitters,18
Family Secrets,18
The Other Woman,18
Mute,18
Olympics,18
Witness Protection,18
Wrestling,18
Gothic Horror,18
Set in Africa,18
Faked Suicide,18
Whitewashed Casting,18
Whistleblowers,18
Circus,18
Fairies,17
Angels,17
Fraternity/Sorority,17
Incest,17
Sex Comedy,17
Doppelganger,17
May / December Romance,17
Judd Apatow Buddy Comedy,17
Foster Family,17
Hockey,17
Abortion,17
One Night Stand,17
Learning Disabilities,17
Porn Business,17
2020s,16
Radio Industry,16
TV News,16
Nightmare,16
Prescription Drug Abuse,16
Police life,16
POW,16
Paranormal Investigation,16
Alternative Dimensions / Parallel universe,16
Character's Journey Shown on Map,16
Genre Mashup,16
Hackers,16
Murder - Suicide,16
Space Opera,16
Non-Drama Biographies,16
Sword and Sandal,16
Sequels With Returning Stars,16
Character POV shot,16
Stoner Comedy,16
Stolen Identity,16
Crime Caper,16
Halloween,16
Set in Brooklyn,16
Witnessing a Crime,16
Tourists In Trouble,16
Outtakes During Credits,16
Torture Porn,16
Plane Crash,15
One Location,15
Cabin in the Woods,15
Advertising and Marketing,15
Theater,15
Sundance Film Festival 2018,15
Scary Kids,15
Loan Shark,15
Nazis Outside of World War II,15
Enemies Forced to Work Together,15
Ransom,15
Mariticide / Uxoricide,15
First Contact,15
Love at First Sight,15
Police Brutality,15
Fantasy Sequence,15
AIDS,15
Stage Magician,15
Death of a Pet,14
One Day,14
Death of a Twin,14
Generational Conflict,14
Pharmaceuticals,14
Romeo and Juliet Romance,14
Archaeology,14
Genderbending Casting,14
Political Activist,14
Chase Adventure,14
Hip Hop and Rap,14
Mockumentary,14
Social Outcast,14
Drug Overdose,14
1600s,14
Former Professional Athlete,14
Parties Gone Wild,14
Exes in Love,14
Set in United Kingdom,14
Child Murderer,14
The Devil,14
Movie Director,14
Gang Warfare,14
Ancient Rome,14
Asian-Americans,14
Cyborg,14
Archival Footage of Previous Installment,13
Set in Las Vegas,13
Woman in a Male Dominated Profession,13
Children Dealing with Divorce,13
Architecture,13
Archive Footage,13
Orphanage,13
Mummy,13
Sexism,13
9/11,13
Revolution,13
Exile,13
Iraq War,13
Restaurants,13
February / May Romance,13
Models,13
Summer Vacation,13
Afghanistan War,13
On Tour,13
Camping,13
Survival Thriller,13
Survival Horror,13
3D Re-release,12
Filmed By a Character,12
Shadowy Organization,12
Field Scientists,12
College Sports,12
Super Villains,12
Civil Rights Movement,12
Sexual Fetishism,12
Familial Murder,12
Underground,12
Tiny Worlds,12
Dark Horse Comics,12
Black Urban,12
Techno-Thriller,12
Winter Sports,12
Extreme Sports,12
Commies,12
Cheerleaders,12
Thanksgiving,12
Set in Ireland,12
Set in Louisiana,12
1500s,12
Underground / Illegal Fighting,12
Firefighter,12
Set in Scotland,12
Australia,12
Unconventional Pregnancies,12
Set in South Korea,12
Jazz,12
Atheism,12
Arms Dealer,11
Intentionally Anachronistic,11
Forbidden Romance,11
Set in Italy,11
Sports Injury,11
Paralysis,11
Songwriter,11
Steampunk,11
KGB,11
Cliffhanger Ending,11
Muslims,11
Surrealism / Absurdism,11
Sundance Film Festival 2020,11
Set in Russia,11
Set in Manhattan,11
Franchise Crossover,11
Kaiju,11
Surfing,11
Refugee,11
Teenage Mom,11
Motorcycle Gangs,11
Beat Cops,11
Human-Trafficking,11
Genetic Engineering,11
Theater Actor,11
Neo Nazis,11
Golf,11
Animated Inanimate Objects,11
Death of a Mentor,11
Survival Drama,11
Bad Role Models,11
Toy Adaptations,11
Unions,11
Teen Pregnancy,11
Mentor,11
Russian Mafia,11
Home Invasion,11
2011 Oscars Best Picture Nominee,10
Set in Boston,10
Internal Affairs,10
Neighbors from Hell,10
Wall Street,10
Set in Harlem,10
Horse Racing,10
Police Shooting,10
Genocide,10
Athletes Past Their Prime,10
Golden Globe Winner Best Picture—Drama,10
Sundance Film Festival 2015,10
Shapeshifter,10
Limited Dialogue,10
Secret Societies,10
Gulf War,10
Dwarfism,10
Kids Horror,10
Golden Globe Winner Best Picture—Musical or Comedy,10
Scandal,10
Tricked into a Relationship,10
Political Protest,10
Found Money,10
One Night,10
Kid Spies,10
Prophecy,10
Newspaper Industry,10
Psychiatrist,10
Mixed Martial Arts,10
Poet,10
Dinosaurs,10
Hicksploitation,9
Newlyweds,9
Spree Killer,9
2012 Oscars Best Picture Nominee,9
Pop Music,9
Hong Kong,9
Letting Go,9
Femme Fatale,9
Street Racing,9
Religious Extremism,9
Political Drama,9
Unemployed,9
Separated at Birth,9
Corrupt Judge,9
Autism,9
Saturday Night Live,9
Super Soldiers,9
2017 Oscars Best Picture Nominee,9
Bachelor Party,9
Country and Western Music,9
Discrimination,9
Talent Contest,9
Magical Technology,9
Backstage,9
Hit and Run,9
Marriage of Convenience,9
Alternate or Altered Realities,9
Voodoo,9
Strike,9
2018 Oscars Best Picture Nominee,9
Bad Teachers,9
Villain's Point of View,9
Communism,9
"F-Rated, Triple",9
Miscellaneous Racing,9
Set in Miami,9
Covering Up an Accidental Death,9
December Romance,9
2013 Oscars Best Picture Nominee,9
Prophetic Dreams,9
Prehistoric Times,9
Frat Pack,9
2010 Oscars Best Picture Nominee,9
Spoiled Child,9
Set in Poland,8
Korean War,8
Killer Inanimate Objects,8
Museum,8
Sundance Film Festival 2019,8
Lovecraftian,8
Grindhouse,8
Fake Dating,8
Mermaids,8
Paparazzi,8
Human Sacrifice,8
Ballet,8
New Parents,8
Night Club,8
Non Professional Actor,8
Murdered Child,8
Virtual Reality,8
About a Stand Up Comedian,8
Ancient Egypt,8
Martial Arts Master,8
2016 Oscars Best Picture Nominee,8
Prom,8
Friends Reuniting,8
Hunting,8
"Set in New Orleans, LA",8
Set in Spain,8
Punk Rock,8
Cavemen,8
Human Animal Transformation,8
Presumed Dead,8
Crowdfunding,8
2014 Oscars Best Picture Nominee,8
Family Reunion,8
Cross-Culture Romance,8
Amatuer Slueth,8
Social Media,8
Middle East,8
Pedophilia,8
Upstairs / Downstairs,8
Familicide,8
Illiteracy / Learning to Read,8
Set on Mars,8
Celebrity Worship,8
MI6,8
Amputee,8
Alternate History,8
Wedding Planning,8
Child Prostitution,8
Anger Management Issues,8
Throwing a Fight / Match,8
Secret Service Agent,8
Old Age Makeup,8
Set in Arizona,8
Government Bureaucracy,8
Child Protective Services,8
Alien Abduction,8
Fiction / Reality Crossover,8
Retirement Home,8
Suicide Bomber,8
Forgery,8
Missing Pet,8
Paranoia,7
Lone Survivor,7
Beauty Industry,7
Hypnotism,7
Fate or Destiny,7
Nightclub,7
Frankenstien's Monster,7
Mountain Climbing,7
Bible Epic,7
Blaxploitation,7
Rogue Agent,7
Stuntman,7
Wire Fu,7
Voyeurism,7
Race Relations,7
1870s,7
Set in Afghanistan,7
Humans as Prey,7
Cops and Robbers,7
Adopted Family Seeking Reunion,7
Nurse,7
Stalker,7
Found footage horror,7
Misanthrope,7
Border Town,7
Death of Other Extended Family,7
Scientific Expedition,7
Bounty/Price on one's Head,7
Child Soldier,7
Set in Germany,7
Bank Foreclosure,7
Indians,7
Adult Child of Divorce,7
Body in a Trunk,7
Lacrosse,7
Track and Field,7
Viral Video,7
Nazi,7
Ku Klux Klan,7
Explorer,7
Survivalist,7
Dentist,7
Set in Cuba,7
2020 Oscars Best Picture Nominee,7
Set in East / West Berlin,7
Drug Trafficking,7
Accidental Injury,7
Confidential Informant,7
Coming Out,7
Colonial United States,7
Gorn or Splatter Horror,7
2022 Oscars Best Picture Nominee,7
Military Coup,7
2015 Oscars Best Picture Nominee,7
Set in Kansas,7
Political Prisoner,7
Anti-war,7
War Correspondent,7
Publishing Industry,7
Off the Wagon / Relapse,7
Skiing,7
2019 Oscars Best Picture Nominee,7
Rivals Becoming Friends,6
Empty Nest,6
Medieval,6
Set in Israel,6
Battle of the Sexes,6
Israeli Palestinian Conflict,6
Secret Police,6
Set in Canada,6
Set in South Africa,6
Faustian,6
Amusement Park,6
Great Depression,6
Missionary,6
Set in Soviet Union,6
Satanism,6
Set in Brazil,6
Abusive Therapists,6
Pantelion Films,6
Faked Romance,6
Cryptozoology,6
AWOL,6
Lord of the Rings,6
Set in New Jersey,6
Triads,6
Split Personality,6
Vikings,6
New Year's Day,6
High School Reunions,6
Adapted as a Comedy,6
Skeptic,6
Flight Attendant,6
Set in Mississippi,6
Emotional Abuse,6
Resistance Fighter,6
Sheriff,6
Entrepreneur,6
Orthodox Religion,6
Set in New Mexico,6
Riots,6
Imaginary Character,6
Security Guard,6
Set in South America,6
Real Estate Agent,6
Rhythm and Blues,6
Wuxia,6
Set in North Korea,6
Insurance Fraud,6
Set in Thailand,6
Censorship,6
Suburbs,6
Boot Camp,6
Bigamy or Polygamy,6
Ancient China,6
Remake with Returning Cast Member,6
1992 Oscars Best Picture Nominee,5
2001 Oscars Best Picture Nominee,5
Comedy Westerns,5
Stand-Up Comedy,5
Moonbase,5
Set in Quebec,5
1990 Oscars Best Picture Nominee,5
Death of a Boss,5
Hitchhiker,5
2002 Oscars Best Picture Nominee,5
2005 Oscars Best Picture Nominee,5
Assisted Suicide,5
1996 Oscars Best Picture Nominee,5
Cowboys,5
1991 Oscars Best Picture Nominee,5
House Arrest,5
2004 Oscars Best Picture Nominee,5
Baby Shower,5
Corporate Espionage,5
Matchmaker,5
Ninja,5
Medical Students,5
Dead Language,5
2003 Oscars Best Picture Nominee,5
Long Distance Romance,5
Disability,5
1968 Oscars Best Picture Nominee,5
Exploring a Character's Mind,5
True Crime,5
Robin Hood Bandits,5
Died During Childbirth,5
Massachusetts,5
1980 Oscars Best Picture Nominee,5
Inbetwequel,5
Hot for Teacher,5
Satan,5
1982 Oscars Best Picture Nominee,5
Summer Camp,5
Red Scare,5
1971 Oscars Best Picture Nominee,5
Swashbuckler,5
Docudrama,5
Remake with a Different Genre,5
Cryogenics,5
Set in Alaska,5
1988 Oscars Best Picture Nominee,5
Divorced Couple Falling Back in Love,5
Gymnastics,5
Set in Hawaii,5
Death Sports,5
1993 Oscars Best Picture Nominee,5
2008 Oscars Best Picture Nominee,5
Double Life,5
1994 Oscars Best Picture Nominee,5
Set in The Bronx,5
Nazi Treasure,5
1984 Oscars Best Picture Nominee,5
Sexual Harassment,5
Set in Egypt,5
Roller Skating,5
Romani,5
1300s,5
Set in Philadelphia,5
Nature Documentary,5
Fictional Country,5
Recut,5
1999 Oscars Best Picture Nominee,5
Chess,5
Native American Folklore,5
Seoul,5
Scotland Yard,5
1985 Oscars Best Picture Nominee,5
Interracial Child,5
Bandits,5
Super Soldier Serum,5
2009 Oscars Best Picture Nominee,5
Priest,5
Sex Addiction,5
Female Lead,5
Gunrunner,5
Moscow,5
Set in Berlin,5
Military Stealing New Invention,5
Rodeo,5
Therapist,5
Occupying Army,5
2000 Oscars Best Picture Nominee,5
Taxi Driver,5
Lynching,5
Jungle,5
1979 Oscars Best Picture Nominee,5
Pastor,5
Interpol,5
Ugly Duckling,5
Set in North Carolina,5
Tennis,5
Tabloid Journalism,5
Honeymoon,5
Sequel With Returning Stars Playing New Characters,5
1997 Oscars Best Picture Nominee,5
Plagiarism,5
1995 Oscars Best Picture Nominee,5
Job Interview,5
Hate Crime,5
Feminism,5
2006 Oscars Best Picture Nominee,5
Sexual Awakening,5
1983 Oscars Best Picture Nominee,5
Tortured as Punishment,5
Humans as Aliens,5
1987 Oscars Best Picture Nominee,5
Santa Claus,5
Dinner Party,5
Home Schooled,5
Cold Case,5
Set in Turkey,5
Crimes Against Humanity,5
Government Massacre or Democide,5
Traitor,5
1986 Oscars Best Picture Nominee,5
1965 Oscars Best Picture Nominee,5
"Set in Seattle, WA",5
Mass Shooting,5
Father and Daughter,5
Prohibition Era,5
Imaginary Friend,5
Bare Knuckle Fighting,5
Makeover,5
Set in Maine,5
2007 Oscars Best Picture Nominee,5
Death of a Colleague,5
1981 Oscars Best Picture Nominee,5
Day After,4
Elementary School,4
Short Film,4
Birth Defects,4
Watching a Fictionalized Version of Yourself,4
"Set in Pittsburgh, PA",4
Documentarian,4
Treason,4
Fake Sports,4
Set in Northern Ireland,4
Guerilla Filmmaking,4
Mathematics,4
Fairy Godmother,4
Nanny,4
1976 Oscars Best Picture Nominee,4
Language Barrier,4
1998 Oscars Best Picture Nominee,4
Child Actor,4
Faked Pregnancies,4
Middle Ages,4
Middle School,4
Motivational Speaker,4
Search for Extraterrestrial Life,4
Survival Adventure,4
Cowboys in Modern Times,4
Set in Tibet,4
Drowning,4
Clowns,4
Comic Strip,4
Miracle,4
Cybercrimes,4
Set in Wyoming,4
Amish,4
Set in Montana,4
Screenwriters,4
Wedding Jitters / Cold Feet,4
Freeze Frame,4
Holocaust Survivor,4
Albino,4
Spring Break,4
1860s,4
Avant Garde,4
Adult Education,4
Preacher,4
Arctic Circle,4
TV Mini-Series,4
Colonialism,4
1972 Oscars Best Picture Nominee,4
Staged Kidnapping,4
Eloping,4
World Record Attempt,4
Set in Colorado,4
Killer Clowns,4
Buried Alive,4
Journey of Discovery,4
Intellectual Pursuits,4
1973 Oscars Best Picture Nominee,4
Amateur Filmmakers,4
Set in Monte Carlo,4
Killer Plants,4
Romance during Wartime,4
World War III,4
Underworld,4
Set in Vietnam,4
Blind Date,4
1969 Oscars Best Picture Nominee,4
Bent on World Domination,4
Minimal Cast,4
Giants,4
Classical Music,4
Defecting,4
Navy,4
Shootout,4
Figure Skating,4
Arson,4
Anarchists,4
Story within a Story,4
Sundance Film Festival 2014,4
Sex Scandal,4
Demoted,4
Multiple Personality,4
1967 Oscars Best Picture Nominee,4
Homeschooling,4
1100s,4
Set in Korea,4
Broadway,4
White House Under Attack,4
1975 Oscars Best Picture Nominee,4
Set in Queens NY,4
"Set in Atlanta, GA",4
Set in Nevada,4
Public Relations,4
Sleepwalking,4
Mormons,4
Left for Dead,4
Cricket,4
Fishing,4
Cheating,4
1977 Oscars Best Picture Nominee,4
2021 Oscars Best Picture Nominee,4
Animal Abuse,4
Behind Enemy Lines,4
Summer School,4
Alzheimer,4
Insomnia,4
Bigfoot,4
Messy Divorce,4
Coup d’Etat,4
Hitman Falling In Love with their Target,4
Nursing Home,4
Yakuza,4
Filicide or Infanticide,4
Bodysnatchers,4
Set in Amazon Rainforest,4
Folk Music,4
White Supremacists,4
Parkour,4
Night Terrors,3
New Age,3
Set in Prague,3
Set in West Virgina,3
Interfaith Romance,3
Missing in Action,3
Self-help movement,3
Transferring Consciousness,3
Agoraphobia,3
Mecha,3
Childhood Friends,3
Black List Graduates,3
Set in Amsterdam,3
Lost At Sea,3
Rockumentary,3
Hindu,3
Child Neglect,3
Undead,3
Set in Argentina,3
Wheelchair Hoax,3
Supreme Court,3
Rapture,3
Superstition,3
Puppets in a Live-Action World,3
Easter,3
Computer Screen Film,3
Set in Iraq,3
Unreliable Narrator,3
Police Investigation,3
Drunk Driver,3
Last Day of School,3
Chinese Mythology,3
Edutainment,3
Skateboarding,3
Sales Clerk,3
Snuff Film,3
Motel,3
Women’s Rights,3
Mumblecore,3
Keeping Up with the Joneses,3
LBGTQ,3
Set in Switzerland,3
World Championship,3
Mexploitation,3
Set in Illinois,3
Norse Mythology,3
Self Harm,3
Warlord,3
Real Time,3
Criminals Working With Cops,3
Desert,3
Corporations vs. Mom and Pop Store,3
Mind Control,3
Sign Language,3
Video Game Industry,3
Paleontologist,3
Set in Virginia,3
Hazing,3
Search and Rescue,3
False Diagnosis,3
Canuxploitation,3
Apartheid,3
Survivor's Guilt,3
Down Syndrome,3
Raised by Kidnappers,3
Dinosaurs in the Modern World,3
Set in Philippines,3
Shared Dreams,3
Graffitti Artists,3
Feudal Japan,3
Buddhism,3
Promotion,3
Quitting in Protest,3
Crime Spree,3
Public Defenders,3
Texas Ranger,3
1989 Oscars Best Picture Nominee,3
Footage Shown in Reverse,3
Accidental Incest,3
Blacklisted,3
Dwarves,3
"Set in Baltimore, MD",3
Birthday Party,3
Doctor as Patient,3
Talking Babies,3
Veterinarian,3
Social Justice,3
Siege,3
Death as a Character,3
Set in Hungary,3
Scientific Breakthrough,3
Accidental Shooting,3
Bullfighting,3
Abusive boyfriend,3
Cyberpunk,3
Competitive Eating,3
IRS,3
Witness Tampering,3
Daredevil,3
Death of a Teammate,3
Recent College Graduate,3
Space Colonization,3
1970 Oscars Best Picture Nominee,3
Transexual,3
Sniper,3
1974 Oscars Best Picture Nominee,3
Switched At Birth,3
Ventriloquism,3
Set in Cambodia,3
Beauty Pageants,3
Travel Industry,3
Set in Missouri,3
Séance,3
Faith Healer,3
Dubbed with New Dialogue,3
Hitman Killing an Innocent Bystander,3
Posthumous Adventure,3
Situational Comedy,3
Golden Years,3
Gladiators,3
East Germany,3
Set in West Germany,3
False Flag Operation,3
Opera,3
Set in Indonesia,3
One-Actor Show,3
RCMP / Mounties,3
Sundance Film Festival 2021,3
False Confession,3
Hotel,3
Testing an Urban Legend,3
Elvis Impersonators,3
Set in New Zealand,3
2030s,3
Search for Birth Parent,3
Fountain of Youth,3
Immortality,3
First Time Parents,3
Revisionist Western,3
Genie or Djinn,3
Lost,3
Descrimination,3
Black and White Sequence,3
Set in Iran,3
Irish Republican Army,3
TV Actor,3
Quarantine,2
Squatting,2
Afterlife,2
Set in Grand Canyon,2
Spanish Inquisition,2
Set in Netherlands,2
Based on a Fake Trailer,2
Set in Wisconsin,2
Set in Antarctica,2
Trailer Park,2
Abandoned Location,2
War Profiteers,2
Unidentified Body,2
Banishment,2
Cut from Older Movies,2
Civil Disobedience,2
Sole Survivor,2
Economic Crash,2
Investment Banking,2
Travelogue,2
Movie Maker,2
A Cappella,2
Set in Ohio,2
Flashback to Previous Movie in the Franchise,2
One Set,2
Lifeguard,2
Meaning of Life,2
Children Trying to Reunite Divorced Parents,2
Set in Monaco,2
NASCAR,2
Guerilla Warfare,2
House Music / Electronica,2
Police Standoff,2
Sweden,2
Prison Riot,2
Accidental Engagement or Marriage,2
Existential Crisis,2
High School Dropout,2
"Set in Portland, Oregon",2
Set in Connecticut,2
Solitary Confinement,2
Amateur Porn,2
Magazine,2
Set in Bangkok,2
Animal Hybrids,2
Internet Dating,2
Dishonorable Discharge,2
Rape Revenge,2
Group Therapy,2
Southern Gothic,2
Marriage Proposal,2
Mutiny,2
Set in Norway,2
Dating After the Death of a Romantic Partner,2
Set in Greece,2
Succubi,2
Palestinian,2
The Civil War,2
Air Race,2
Bowling,2
Vaudeville,2
Doomed Romance,2
Pope,2
Prep School,2
Set in Nova Scotia,2
Sketch Comedy,2
Gaslighting,2
Silent Film,2
Parricide,2
Set in Vienna,2
Fake Psychics,2
Choreography,2
Female Athlete in a Male Dominated Sport,2
Dares,2
Bubonic Plague / Black Death,2
Set in Singapore,2
Set in Coney Island,2
Midnight Movie,2
Secret Sequel,2
Pacifism,2
Open Relationships,2
Inside Job,2
Girls' Night Out,2
Ambush,2
United Nations,2
Stanley Cup,2
Social Worker,2
Brainwashing,2
Set in Colombia,2
