,Title,MPAA Rating,Keywords,Source,Production method,Creative type,Countries,Total original B.O
31,Father of the Bride,['Not Rated'],"['Other_Keywords', 'Family Comedy']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],10135000.0
32,All About Eve,['Not Rated'],"['Life Drama', 'Professional Rivalry', 'Betrayal', 'Other_Keywords']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],8402348.0
33,Quo Vadis?,['Not Rated'],"['Bigotry', 'Romance', 'Historical Drama', 'Other_Keywords']",['Based on Religious Text'],['Live Action'],['Historical Fiction'],['United States'],30028983.0
34,A Streetcar Named Desire,['PG'],"['Sex Crimes', 'Novel or Other Work Adapted by Author', 'Domestic Abuse', 'Pregnant Women', 'LGBTQ+', 'Family Drama', 'Mental Illness', 'Suicide', 'Dysfunctional Family', 'Other_Keywords', 'Inheritance', 'Money Troubles']",['Based on Play'],['Live Action'],['Contemporary Fiction'],['United States'],8006845.0
35,Strangers on a Train,['PG'],"['Death of a Spouse or Fiancée / Fiancé', 'Framed', 'Relationships Gone Wrong', 'Infidelity', 'Film Noir', 'Dysfunctional Family', 'Other_Keywords', 'Psychological Thriller', 'Pregnant Women']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],7021533.0
36,Captain Horatio Hornblower R.N.,['Not Rated'],"['Romance', 'Death of a Spouse or Fiancée / Fiancé', 'Medical and Hospitals', 'Action Adventure', 'Other_Keywords', 'Single Parent', 'War']",['Based on Fiction Book/Short Story'],['Live Action'],['Historical Fiction'],"['United Kingdom', 'United States']",6000000.0
37,The Greatest Show on Earth,['Not Rated'],"['Life Drama', 'Animal Lead', 'Other_Keywords']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],36000000.0
38,The Snows of Kilimanjaro,['Not Rated'],"['Romance', 'Romantic Drama', 'Relationships Gone Wrong', 'Other_Keywords']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],14181330.0
39,Singin' in the Rain,['G'],['Movie Business'],['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],7241009.0
40,Peter Pan,['PG'],"['Coming of Age', 'Voiceover/Narration', 'Revenge', 'Other_Keywords']",['Based on Fiction Book/Short Story'],['Hand Animation'],['Fantasy'],['United States'],87400000.0
41,House of Wax,['R'],"['Romance', 'Artists', 'Visual Effects', 'Surprise Twist', 'Revenge', 'Other_Keywords', 'Psychological Horror']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],23800000.0
42,Gentlemen Prefer Blondes,['Not Rated'],"['Romance', 'Cross-Class Romance', 'False Identity', 'Infidelity', 'Private Investigator', 'Musicians', 'Falsely Accused', 'Other_Keywords']",['Based on Musical or Opera'],['Live Action'],['Contemporary Fiction'],['United States'],12000418.0
43,Hondo,['PG'],"['3-D', 'Romance', 'Death of a Spouse or Fiancée / Fiancé', 'Relationships Gone Wrong', 'Young Child Dealing with the Death of a Parent', 'Death of a Son or Daughter', 'Revenge', 'Other_Keywords', 'Widow/Widower', 'War']",['Based on Fiction Book/Short Story'],['Live Action'],['Historical Fiction'],['United States'],8200000.0
44,How to Marry a Millionaire,['Not Rated'],"['Romance', 'Confidence Men', 'Relationships Gone Wrong', 'Other_Keywords', 'Domestic Abuse', 'Infidelity', 'Dream Sequence', 'Cross-Class Romance', 'Widow/Widower']",['Based on Play'],['Live Action'],['Contemporary Fiction'],['United States'],7300742.0
45,Niagara,['Not Rated'],"['Death of a Spouse or Fiancée / Fiancé', 'Relationships Gone Wrong', 'Infidelity', 'Domestic Abuse', 'Voiceover/Narration', 'Film Noir', 'Mental Illness', 'Faked Death', 'Other_Keywords']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],2500000.0
46,White Christmas,['Not Rated'],"['Romance', 'Christmas', 'World War II', 'Dancing', 'Performing Arts', 'Prologue', 'Other_Keywords']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],30001212.0
47,Rear Window,['PG'],"['Death of a Spouse or Fiancée / Fiancé', 'Relationships Gone Wrong', 'Other_Keywords', 'Domestic Abuse', 'Crime Thriller']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],27592789.0
